SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,005008,出售附属公司,270000000
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,005009,收购附属公司,14000000
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,005010,收回投资所得现金,11272000000
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,005011,投资支付现金,185051000000
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,005997,投资业务其他项目,-859000000
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,005999,投资业务现金净额,-3944000000
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,006999,融资前现金净额,22226000000
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,007001,新增借款,6273000000
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,007002,偿还借款,16535000000
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,007006,发行股份,1427000000
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,007008,回购股份,1925000000
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,007010,发行债券,3449000000
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,007013,购买子公司少数股权而支付的现金,-1126000000
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,007997,融资业务其他项目,-205000000
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,007999,融资业务现金净额,-6390000000
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,008001,汇率影响,1729000000
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,010999,现金净额,17565000000
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,011001,期初现金,47671000000
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,011999,期末现金,65236000000
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,013999,非运算项目,145221000000
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,001001,除税前溢利(业务利润),7591000000
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,001004,减:投资收益,2998000000
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,001006,加:减值及拨备,5434000000
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,001008,减:出售资产之溢利,126000000
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,001009,加:折旧及摊销,22559000000
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,001011,加:购股权开支,7056000000
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,001997,加:经营调整其他项目,-703000000
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,001999,营运资金变动前经营溢利,38813000000
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,002002,应收帐款减少,-2144000000
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,002003,应收关联方款项(增加)减少,-695000000
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,002004,应付帐款及应计费用增加(减少),7141000000
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,002005,应付关联方款项增加(减少),281000000
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,002006,营运资本变动其他项目,-23867000000
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,002007,预付款项、按金及其他应收款项减少(增加),622000000
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,002009,递延收入(增加)减少,-29000000
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,002999,经营产生现金,20122000000
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,003999,经营业务现金净额,20122000000
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,005003,存款减少(增加),156700000000
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,005005,购建固定资产,10896000000
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,005007,购建无形资产及其他资产,344000000
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,005009,收购附属公司,12282000000
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,005010,收回投资所得现金,35803000000
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,005011,投资支付现金,200425000000
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,005997,投资业务其他项目,0
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,005999,投资业务现金净额,-31444000000
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,006999,融资前现金净额,-11322000000
